team,app,shoot,eshoot,goal,pass,keypass,Assist,,,,,,
Gangwon,23,295,102,40,8891,167,24,,,,,,
Kimcheon,23,320,115,33,12165,193,20,,,,,,
Daegu,23,329,102,33,7837,197,19,,,,,,
Seoul,23,354,115,34,16047,209,24,,,,,,
Sungnam,23,317,108,27,8517,169,15,,,,,,
Soowon,23,290,96,27,9750,166,22,,,,,,
Sf,23,302,102,44,9080,189,31,,,,,,
Woolsan,23,341,128,44,15306,188,25,,,,,,
Incheon,23,293,96,37,9756,178,24,,,,,,
Jeonbook,23,304,112,36,12395,187,25,,,,,,
Jaeju,23,337,113,38,12301,198,30,,,,,,
Pohang,23,324,123,38,10927,183,26,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
